topology,model,macro_f1_mean,bal_acc_mean,swap_equiv_mi_bits,cxfrac_mi_bits,depth_mi_bits
line_8,logreg,0.7721886431815486,0.775,0.3140363435233361,0.18300349626561305,0.2706702950758917
line_8,rf,0.8885682160344519,0.888888888888889,0.3140363435233361,0.18300349626561305,0.2706702950758917
ladder_2x4,logreg,0.8788998081381075,0.8805555555555558,0.6243780031396635,0.28925736736777785,0.40912120477293806
ladder_2x4,rf,0.9359618263966091,0.9361111111111111,0.6243780031396635,0.28925736736777785,0.40912120477293806
